complex,prediction,n,entrez
SIN3-HDAC-SAP30-ARID4 complex,NUCLEUS,7,60406; 19646; 433759; 245688; 94246; 15182; 20466
Sin3-Hdac1-Sds3 complex,NUCLEUS,3,433759; 20467; 71954
SIN3-ING1b complex I,NUCLEUS,9,20220; 60406; 19646; 433759; 245688; 94246; 15182; 20466; 26356
SIN3-ING1b complex II,NUCLEUS,16,20220; 93760; 60406; 56456; 20586; 19646; 20587; 433759; 245688; 94246; 68094; 15182; 20588; 83797; 20466; 26356
SIN3-SAP25 complex,NUCLEUS,11,20220; 60406; 19646; 433759; 245688; 94246; 751865; 15182; 20466; 269003; 71954
SIRT1 homotrimer complex,CYTOSOL|NUCLEUS,1,93759
"SIRT1-HNF4-alpha-PGC-1-alpha complex, in response to fasting",CYTOSOL|NUCLEUS|SECRETORY,3,19017; 15378; 93759
SIVA1-S1PR4 complex,UNCLASSIFIED,2,30954; 13611
"Skeletal muscle sarcoglycan complex SGC, alpha-beta-epsilon-gamma",SECRETORY,4,20392; 24053; 24051; 20391
"Skeletal muscle sarcoglycan complex SGC, alpha-beta-gamma-delta",SECRETORY|UNKNOWN,4,24052; 24053; 24051; 20391
"Skeletal muscle sarcoglycan complex SGC, beta-gamma-delta-zeta",SECRETORY|UNKNOWN,4,24052; 24053; 24051; 244431
"Skeletal muscle sarcoglycan complex SGC, epsilon-beta-gamma-delta",SECRETORY,4,20392; 24052; 24053; 24051
SKI complex,LARGE PROTEIN COMPLEX,3,108077; 218343; 66317
SKI-NCOR1-SIN3A-HDAC1 complex,NUCLEUS,4,20185; 20481; 433759; 20466
SKI-SMAD2 complex,LARGE PROTEIN COMPLEX,2,20481; 17126
SKI-SMAD2-SMAD4  pentameric complex,LARGE PROTEIN COMPLEX,3,20481; 17128; 17126
SKI-SMAD3 complex,CYTOSOL|NUCLEUS,2,20481; 17127
SKI-SMAD3-SMAD4 complex,CYTOSOL|LARGE PROTEIN COMPLEX|NUCLEUS,3,20481; 17127; 17128
Slam-SAP complex,UNCLASSIFIED,2,20400; 27218
Slam-SAP-FynT complex,PLASMA MEMBRANE,3,20400; 14360; 27218
Slam-SAP-SHIP complex,CYTOSOL,3,20400; 16331; 27218
Slc18a1-Slc18a2-Th complex,UNCLASSIFIED,3,21823; 110877; 214084
SLC2A1-DMTN-ADD2 complex,PLASMA MEMBRANE,3,20525; 11519; 13829
Slc34a1-Nherf1 complex,PLASMA MEMBRANE,2,26941; 20505
SLC9A3R1-ACTN4 complex,ACTIN BINDING PROTEINS|PLASMA MEMBRANE,2,26941; 60595
"SLP-76-Cbl-Grb2-Shc complex, Fc receptor gamma-R1 stimulated",UNKNOWN,4,12402; 20416; 14784; 16822
"SLP-76-PLC-gamma-1-ITK complex, alpha-TCR stimulated",ACTIN BINDING PROTEINS|CYTOSOL|UNKNOWN,3,18803; 16428; 16822
"SLP-76-PLC-gamma-1-VAV complex, alpha-TCR stimulated",ACTIN BINDING PROTEINS|CYTOSOL|UNKNOWN,3,22324; 18803; 16822
Slp1-Rab27b-Crmp2 complex,LARGE PROTEIN COMPLEX|SECRETORY,3,12934; 269589; 80718
Slp5-Rab27A complex,SECRETORY|UNKNOWN,2,236643; 11891
SMAD1-CBP complex,NUCLEUS,2,17125; 12914
Smad1-Notch1-p300-Pcaf complex,NUCLEUS,4,328572; 17125; 18128; 18519
SMAD1-OAZ-HsN3 complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,19172; 18245; 17125
SMAD1-P300 complex,NUCLEUS,2,328572; 17125
Smad2 homotrimer complex,LARGE PROTEIN COMPLEX,1,17126
SMAD2-FAST1 complex,LARGE PROTEIN COMPLEX,2,14106; 17126
SMAD2-SKI-NCOR complex,LARGE PROTEIN COMPLEX,3,20185; 20481; 17126
Smad2-Smad3 complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,17126; 17127
Smad2-Smad4 complex,LARGE PROTEIN COMPLEX,2,17128; 17126
SMAD2-SMAD4-FAST1 complex,LARGE PROTEIN COMPLEX,3,14106; 17128; 17126
"SMAD2-SMAD4-FAST1-TGIF complex, TGF(beta) induced",LARGE PROTEIN COMPLEX,4,14106; 17128; 21815; 17126
"SMAD2-SMAD4-FAST1-TGIF-HDAC1 complex, TGF(beta) induced",LARGE PROTEIN COMPLEX,5,14106; 17128; 433759; 21815; 17126
SMAD2-SMAD4-WWTR1 complex,LARGE PROTEIN COMPLEX,3,17128; 17126; 97064
Smad3 homotrimer complex,CYTOSOL|NUCLEUS,1,17127
SMAD3-cSKI-SIN3A-HDAC1 complex,NUCLEUS,4,20481; 17127; 433759; 20466
SMAD3-E2F4/5-p107-DP1 complex,CYTOSOL|NUCLEUS|UNKNOWN,5,19650; 17127; 21781; 13559; 104394
Smad3-Hdac-Runx2 complex,CYTOSOL|NUCLEUS,4,17127; 15184; 208727; 12393
SMAD3-HEF1-APC10-CDH1 complex,CYTOSOL|NUCLEUS,4,12550; 17127; 18003; 68999
Smad3-mSin3A-Hdac1 complex,NUCLEUS,3,433759; 20466; 17127
SMAD3-SKI-NCOR complex,NUCLEUS,3,20185; 20481; 17127
Smad3-Smad4 complex,CYTOSOL|LARGE PROTEIN COMPLEX|NUCLEUS,2,17128; 17127
SMAD3-SMAD4-cJUN complex,CYTOSOL|LARGE PROTEIN COMPLEX|NUCLEUS,3,16476; 17127; 17128
SMAD3-SMAD4-cJun-cFos complex,CYTOSOL|LARGE PROTEIN COMPLEX|NUCLEUS,4,14281; 16476; 17127; 17128
SMAD3-SMAD4-CTCF protein-DNA complex,NUCLEUS,3,13018; 17127; 17128
SMAD3-SMAD4-FOXO1 complex,CYTOSOL,3,17127; 56458; 17128
SMAD3-SMAD4-FOXO3 complex,CYTOSOL,3,56484; 17127; 17128
SMAD3-SMAD4-FOXO3-FOXG1 complex,CYTOSOL|LARGE PROTEIN COMPLEX,4,56484; 15228; 17127; 17128
SMAD3-SMAD4-FOXO4 complex,CYTOSOL|LARGE PROTEIN COMPLEX|NUCLEUS,3,17127; 54601; 17128
SMAD3-SMAD4-SP1 complex,NUCLEUS,3,20683; 17127; 17128
SMAD3-SMAD4-WWTR1 complex,CYTOSOL,3,17127; 17128; 97064
SMAD3-VDR complex,CYTOSOL|NUCLEUS,2,22337; 17127
SMAD3/4-E2F4/5-p107-DP1 complex,CYTOSOL|NUCLEUS,6,19650; 17127; 17128; 21781; 13559; 104394
SMAD4-SKI complex,LARGE PROTEIN COMPLEX,2,20481; 17128
SMAD4-SKI-NCOR complex,LARGE PROTEIN COMPLEX|NUCLEUS,3,20185; 20481; 17128
SMAD4-SMAD2-SMAD3 complex,LARGE PROTEIN COMPLEX,3,17127; 17128; 17126
SMAD4-SNO-SKI complex,LARGE PROTEIN COMPLEX,3,20481; 20482; 17128
SMAD6-HOXA9 complex,NUCLEUS,2,17130; 15405
SMAD6-HOXC8 complex,UNKNOWN,2,17130; 15426
SMAR1-HDAC1-SIN3A-SIN3B repressor complex,NUCLEUS,4,20467; 433759; 53325; 20466
SMAR1-HDAC1-SIN3A-SIN3B-p107-p130 repressor complex,NUCLEUS,6,20467; 19650; 19651; 433759; 53325; 20466
Smarca2-Smarce1-Mecp2 complex,NUCLEUS,3,57376; 20586; 17257
"Smarca4-Ehmt2-Dnmt3a complex, stress induced by TAC (transverse aortic constriction)",NUCLEUS,3,13435; 20586; 110147
Smarcb1-Smarca2-Mecp2 complex,NUCLEUS,3,67155; 20587; 17257
SMC1-SMC3 complex,LARGE PROTEIN COMPLEX|NUCLEUS,2,24061; 13006
Smcb-Smcd-PW29 complex,NUCLEUS,3,19357; 24061; 13006
SMCC complex,NUCLEUS,18,26896; 23989; 69792; 51813; 264064; 108098; 19014; 67279; 66213; 68975; 59024; 28077; 56771; 234959; 327987; 230753; 216154; 67381
SMG-1-UPF-ERF1-ERF3 complex (SURF),LARGE PROTEIN COMPLEX,4,14852; 225363; 19704; 233789
SMG1-UPF2-Y14-MAGOH-UPF3B-EIF4A3 complex,LARGE PROTEIN COMPLEX,6,192170; 17149; 233789; 68134; 326622; 60365
"SMN complex (GEMIN5,4,3), SMN-independent intermediate",LARGE PROTEIN COMPLEX,3,276919; 216766; 53975
"SMN complex (GEMIN6,7, UNRIP), SMN-independent intermediate",LARGE PROTEIN COMPLEX,3,621705; 69731; 20901
SMN-PolII-RHA complex,NUCLEUS,10,66603; 20639; 20638; 21374; 20020; 276919; 20646; 229906; 13211; 53975
"Smooth muscle sarcoglycan complex SGC, beta-delta-zeta",SECRETORY|UNKNOWN,3,24052; 24051; 244431
SMRT complex,LARGE PROTEIN COMPLEX,5,15183; 21372; 56310; 81004; 20602
SMRT core complex,LARGE PROTEIN COMPLEX,3,15183; 21372; 20602
Smrt-Sin3A-Hdac7 complex,NUCLEUS,3,20466; 56233; 20602
SMRT-SKIP-CBF1 complex,NUCLEUS,3,19664; 66354; 20602
Smurf1-Par6 complex,UNKNOWN,2,75788; 56513
Snap25-caveolin complex,PLASMA MEMBRANE,2,12389; 20614
SNAPc (small nuclear RNA-activating protein) complex,NUCLEUS,5,330959; 102209; 75627; 227644; 77634
"SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b)",GOLGI,6,56494; 56389; 20333; 12068; 53334; 76983
"SNARE complex (HGS, SNAP25, STX13)",ENDOSOME,3,15239; 20614; 100226
"SNARE complex (RINT1, ZW10, p31, Stx18)",ENDOPLASMIC RETICULUM,4,26951; 57296; 71116; 72772
"SNARE complex (RINT1, ZW10, p31)",ENDOPLASMIC RETICULUM,3,26951; 57296; 72772
"SNARE complex (SNAP23, STX1A)",PLASMA MEMBRANE,2,20619; 20907
"SNARE complex (Snap25, Syt1, Unc13b, Vamp2, Stx1b2, Stx1a)",ENDOSOME,6,20979; 20907; 20614; 56216; 22318; 22249
"SNARE complex (Snap25, Vamp3, Vamp2, Napa, Stx12)",ENDOSOME,5,100226; 108124; 20614; 22319; 22318
"SNARE complex (SNAP25, VAMP3, VAMP2, NAPB, STX13)",ENDOSOME,5,20614; 22318; 22319; 100226; 17957
"SNARE complex (Snap47, Stx1a, Vamp2)",ENDOSOME|UNKNOWN,3,20907; 22318; 67826
"SNARE complex (STX11, VAMP2, SNAP23)",PLASMA MEMBRANE,3,20619; 74732; 22318
"SNARE complex (STX1A, CPLX2, SNAP-25, VAMP2)",ENDOSOME,4,20907; 22318; 12890; 20614
"SNARE complex (Stx1a, Napa, Snap25, Vamp2, Nsf)",ENDOSOME,5,20907; 108124; 20614; 22318; 18195
"SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)",ENDOSOME,4,20907; 20614; 22318; 12890
"SNARE complex (Stx1a, Snap25, Stxbp5)",ENDOSOME,3,20907; 20614; 78808
"SNARE complex (Stx1a, Snap25, Vamp2, Syt1)",ENDOSOME,4,20979; 20907; 20614; 22318
"SNARE complex (Stx1a, Snap25, Vamp2)",ENDOSOME,3,20907; 20614; 22318
"SNARE complex (Stx1a, Snap25, Vamp8)",ENDOSOME,3,20907; 20614; 22320
"SNARE complex (STX1A, SNAP29)",UNKNOWN,2,67474; 20907
"SNARE complex (STX1a, STX1b, SNAP25, RAB3a, SYT1, VAMP2, CPLX2)",ENDOSOME,7,19339; 20907; 20979; 56216; 22318; 12890; 20614
"SNARE complex (STX1A, STX1B, SNAP25, RAB3A, SYT1, VAMP2)",ENDOSOME,6,19339; 20907; 20979; 56216; 22318; 20614
"SNARE complex (Stx1a,1b,7,13, Rtn1, Vamp2)",ENDOSOME,6,100226; 53331; 20907; 56216; 22318; 104001
"SNARE complex (STX2, SNAP23)",PLASMA MEMBRANE,2,20619; 13852
"SNARE complex (Stx2, Snap25, Vamp2, Cplx1)",ENDOSOME|PLASMA MEMBRANE,4,13852; 20614; 12889; 22318
"SNARE complex (Stx2, Snap25, Vamp2, Cplx2)",ENDOSOME|PLASMA MEMBRANE,4,13852; 20614; 22318; 12890
"SNARE complex (Stx2, Snap25, Vamp2, Syt1)",ENDOSOME,4,20979; 13852; 20614; 22318
"SNARE complex (Stx2, Snap25, Vamp2)",ENDOSOME|PLASMA MEMBRANE,3,13852; 20614; 22318
"SNARE complex (Stx2, Snap25, Vamp8)",PLASMA MEMBRANE,3,13852; 20614; 22320
"SNARE complex (Stx3, Snap25, Vamp2, Cplx1)",ENDOSOME|PLASMA MEMBRANE,4,20614; 12889; 22318; 20908
"SNARE complex (Stx3, Snap25, Vamp2, Cplx2)",ENDOSOME|PLASMA MEMBRANE,4,20614; 22318; 12890; 20908
"SNARE complex (Stx3, Snap25, Vamp2, Syt1)",ENDOSOME,4,20979; 20614; 22318; 20908
"SNARE complex (Stx3, Snap25, Vamp2)",ENDOSOME|PLASMA MEMBRANE,3,20614; 22318; 20908
"SNARE complex (Stx3, Snap25, Vamp8)",PLASMA MEMBRANE,3,20614; 20908; 22320
"SNARE complex (Stx4, Napa, Vamp3, Nsf, Vamp2)",ENDOSOME,5,108124; 22319; 22318; 20909; 18195
"SNARE complex (STX4, SNAP23, VAMP1)",PLASMA MEMBRANE,3,20619; 22317; 20909
"SNARE complex (STX4, SNAP23, VAMP2)",PLASMA MEMBRANE,3,20619; 22318; 20909
"SNARE complex (STX4, SNAP23)",PLASMA MEMBRANE,2,20619; 20909
"SNARE complex (Stx4, Snap25, Vamp2, Syt1)",ENDOSOME,4,20979; 20614; 22318; 20909
"SNARE complex (Stx4, Snap25, Vamp2)",ENDOSOME|PLASMA MEMBRANE,3,20614; 22318; 20909
"SNARE complex (Stx4, Snap25, Vamp8)",PLASMA MEMBRANE,3,20614; 20909; 22320
"SNARE complex (Stx4, Stx6, Stx7, Vamp3, Vamp7, Vamp8, Vti1b)",ENDOSOME,7,22320; 53331; 53612; 22319; 20955; 20909; 58244
"SNARE complex (STX4, VAMP1, VAMP7)",ENDOSOME|PLASMA MEMBRANE|SECRETORY,3,22317; 20955; 20909
"SNARE complex (Stx4, Vamp8, Snap23)",PLASMA MEMBRANE,3,20619; 22320; 20909
"SNARE complex (STX4, VAMP8, VAMP3, SNAP23)",PLASMA MEMBRANE,4,20619; 20909; 22319; 22320
"SNARE complex (Stx5, Gosr1, Bet1, Gef2)",GOLGI,4,93739; 56389; 12068; 53334
"SNARE complex (Stx5, Gosr1, GS15)",GOLGI,3,54399; 56389; 53334
"SNARE complex (Stx5, Gosr2, Sec22b, Bet1)",GOLGI,4,56494; 56389; 20333; 12068
"SNARE complex (Stx5, p97, Nsfl1c)",LARGE PROTEIN COMPLEX|UNKNOWN,3,386649; 269523; 56389
"SNARE complex (Stx5, Ykt6, Gosr1, Bet1)",GOLGI,4,54399; 56389; 56418; 53334
"SNARE complex (STX6, SNAP23)",PLASMA MEMBRANE,2,20619; 58244
"SNARE complex (Stx6, Snap29)",ENDOSOME|UNKNOWN,2,58244; 67474
"SNARE complex (VAMP2, SNAP25, STX13)",ENDOSOME,3,20614; 22318; 100226
"SNARE complex (VAMP2, SNAP25, STX1a, CPLX1, CPLX3)",ENDOSOME,5,12889; 20614; 22318; 20907; 235415
"SNARE complex (Vamp2, Snap25, Stx1a, Cplx1)",ENDOSOME,4,20907; 20614; 12889; 22318
"SNARE complex (VAMP2, SNAP25, STX1a, CPLX1)",ENDOSOME,4,12889; 20614; 22318; 20907
"SNARE complex (VAMP2, SNAP25, STX1a, CPLX2)",ENDOSOME,4,20614; 22318; 20907; 12890
"SNARE complex (VAMP2, SNAP25, STX1a, CPLX3, CPLX4)",ENDOSOME,5,20614; 22318; 20907; 225644; 235415
"SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4)",ENDOSOME,7,12889; 20614; 22318; 20908; 20907; 225644; 235415
"SNARE complex (Vamp2, Snap25, Stx1a, Syt1, Cplx1)",ENDOSOME,5,20979; 20907; 20614; 12889; 22318
"SNARE complex (Vamp2, Snap25, Stx1a, Syt1, Cplx2)",ENDOSOME,5,20979; 20907; 20614; 22318; 12890
"SNARE complex (VAMP3, STX6, VTI1A)",ENDOSOME|SECRETORY|UNKNOWN,3,58244; 22319; 53611
"SNARE complex (VAMP3, VAMP4, STX16)",ENDOSOME|SECRETORY|UNKNOWN,3,228960; 53330; 22319
"SNARE complex (VAMP3, VAMP4, VAMP8, STX6)",ENDOSOME,4,58244; 53330; 22319; 22320
"SNARE complex (VAMP4, STX6, STX16, VTI1a, VTI1b)",ENDOSOME,5,228960; 58244; 53330; 53611; 53612
"SNARE complex (Vamp4, Stx6, Stx16, Vti1a)",ENDOSOME|SECRETORY|UNKNOWN,4,228960; 53330; 58244; 53611
"SNARE complex (Vamp7, Stx5, Bet1, Vti1a)",GOLGI,4,56389; 12068; 20955; 53611
"SNARE complex (Vti1b, Stx6, Stx7)",ENDOSOME,3,53331; 53612; 58244
"SNARE complex (Ykt6, Stx5, Gosr2, Bet1)",GOLGI,4,56494; 56389; 56418; 12068
SNCA-TUBB3 complex,ACTIN BINDING PROTEINS|CYTOSOL|GOLGI|LARGE PROTEIN COMPLEX|UNKNOWN,2,20617; 22152
SNF2H-BAZ1A complex,NUCLEUS,2,93762; 217578
SNF2h-cohesin-NuRD complex,NUCLEUS,16,19357; 93762; 23942; 17192; 19646; 216848; 116870; 433759; 24061; 245688; 20843; 20842; 15182; 217578; 17191; 13006
SNF2L-RSF1 complex,NUCLEUS,2,93761; 233532
Snurportin-CRM1-RanGTP complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,103573; 66069; 19384
"SNX complex (SNX1, SNX1a, SNX2, SNX4, EGFR)",ENDOSOME,4,67804; 69150; 13649; 56440
"SNX complex (SNX1, SNX1a, SNX2, SNX4, INSR)",ENDOSOME,4,67804; 69150; 16337; 56440
"SNX complex (SNX1, SNX1a, SNX2, SNX4, LEPR)",ENDOSOME,4,67804; 69150; 16847; 56440
"SNX complex (SNX1, SNX1a, SNX2, SNX4, PDGFRA)",ENDOSOME,4,67804; 69150; 18595; 56440
"SNX complex (SNX1, SNX1a, SNX2, SNX4)",ENDOSOME,3,67804; 69150; 56440
"SNX complex (SNX1, SNX1a, TFRC)",ENDOSOME,2,22042; 56440
"SNX complex (SNX1, SNX6)",CYTOSOL|ENDOSOME|LARGE PROTEIN COMPLEX|UNKNOWN,2,56440; 72183
"SNX complex (SNX2), oligomeric",ENDOSOME,1,67804
SOG complex,LARGE PROTEIN COMPLEX,8,110379; 17168; 230676; 319481; 56032; 72124; 268933; 252875
Sorcin homodimer complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,1,109552
Sororin-cohesin complex,NUCLEUS,6,19357; 24061; 71521; 67849; 100710; 13006
SOS1-ABI1-EPS8 complex,UNKNOWN,3,20662; 13860; 11308
SOS1-ABI1-EPS8L1 complex,CYTOSOL,3,20662; 11308; 67425
SOS1-ABI1-EPS8L2 complex,CYTOSOL|UNKNOWN,3,20662; 11308; 98845
SOS1-ABI1-EPS8L3 complex,CYTOSOL,3,20662; 11308; 99662
SOX2-VRK1 complex,NUCLEUS,2,20674; 22367
SP1-E2F1 complex,NUCLEUS,2,20683; 13555
SP1-E2F2 complex,NUCLEUS,2,20683; 242705
SP1-E2F3 complex,NUCLEUS,2,13557; 20683
SP1-MCAF2 complex,NUCLEUS,2,20683; 75329
SPATA2-CYLD complex,CYTOSOL,2,74256; 263876
SPG10-SPG33 complex,CYTOSOL|ENDOPLASMIC RETICULUM|SECRETORY,2,16572; 319740
SPG31-SPG33 omplex,ENDOPLASMIC RETICULUM|ENDOSOME|SECRETORY,2,319740; 52250
Spg33-Kif5a complex,CYTOSOL|ENDOPLASMIC RETICULUM|SECRETORY,2,16572; 319740
Spg33-Kif5b complex,ACTIN BINDING PROTEINS|CYTOSOL|ENDOPLASMIC RETICULUM|LARGE PROTEIN COMPLEX|SECRETORY|UNKNOWN,2,319740; 16573
Spg33-Kif5c complex,CYTOSOL|ENDOPLASMIC RETICULUM|LARGE PROTEIN COMPLEX|SECRETORY|UNKNOWN,2,16574; 319740
Spg33-Plp1 complex,CYTOSOL|ENDOPLASMIC RETICULUM|SECRETORY,2,18823; 319740
Spg33-Rtn1 complex,ENDOPLASMIC RETICULUM|SECRETORY,2,319740; 104001
Spg33-Rtn3 complex,ENDOPLASMIC RETICULUM,2,319740; 20168
Spg33-Rtn4 complex,ENDOPLASMIC RETICULUM|SECRETORY,2,319740; 68585
SPG33-SURF4 complex,GOLGI|SECRETORY,2,20932; 319740
SPG33-VAPA complex,ENDOPLASMIC RETICULUM,2,319740; 30960
SPG33-VAPB complex,ENDOPLASMIC RETICULUM,2,56491; 319740
SPG3A-SPG33 complex,SECRETORY,2,319740; 73991
SPG3A-SPG4-SPG31 complex,ENDOSOME,3,73991; 52250; 50850
SPG4-SPG12 complex,ENDOPLASMIC RETICULUM,2,20167; 50850
SPG4-SPG33 complex,ENDOPLASMIC RETICULUM,2,319740; 50850
SRA-SRC-1 ribonucleoprotein complex,CYTOSOL|ENDOPLASMIC RETICULUM|UNKNOWN,2,17977; 24068
SRC-1 complex,NUCLEUS,4,20822; 17978; 17977; 12914
SRC-3 complex,UNKNOWN,7,16150; 12675; 20822; 17978; 12914; 16151; 17979
Src-dynamin-synapsin complex,UNKNOWN,3,20964; 20779; 13429
Src-dynamin-synapsin-alpha-adaptin complex,PLASMA MEMBRANE|UNKNOWN,4,20964; 11772; 13429; 20779
SRC-PRKCD-CDCP1 complex,PLASMA MEMBRANE|SECRETORY,3,20779; 18753; 109332
Src1-Ep300-Crebbp complex,NUCLEUS,3,12914; 17977; 328572
SRCAP-associated chromatin remodeling complex,LARGE PROTEIN COMPLEX|NUCLEUS,10,70103; 64050; 56456; 51788; 21427; 100043597; 106389; 67019; 20174; 56505
SREBP-1a-PKM2 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,18746; 20787
Srf-Myocd-Msx1 complex,NUCLEUS,3,20807; 214384; 17701
Srf-Myocd-Msx2 complex,CYTOSOL|NUCLEUS,3,20807; 17702; 214384
Srf-myogenin-E12 complex,LARGE PROTEIN COMPLEX|NUCLEUS|UNKNOWN,3,17928; 21423; 20807
ST3GAL6-EGFR complex,PLASMA MEMBRANE|SECRETORY,2,13649; 54613
STAGA complex,NUCLEUS,13,246103; 109115; 101206; 102162; 72195; 24075; 101943; 66464; 108143; 14534; 27878; 100683; 225895
STAGA core complex,NUCLEUS,3,109115; 108143; 14534
Stat1-alpha-dimer-CBP DNA-protein complex,NUCLEUS,2,20846; 12914
STAT3 homodimer complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,1,20848
STAT6-p100-RHA complex,LARGE PROTEIN COMPLEX|UNKNOWN,3,20852; 13211; 56463
Striatin-SG2NA-zinedin-caveolin1 complex,LARGE PROTEIN COMPLEX,4,12389; 97387; 94186; 268980
STRIPAK complex,LARGE PROTEIN COMPLEX,5,268980; 51792; 19052; 229707; 19070
Stx7-Unc13d-Vamp8 complex,UNKNOWN,3,70450; 22320; 53331
SUA1-UBA2 complex,CYTOSOL|LARGE PROTEIN COMPLEX,2,56459; 50995
"Succinate dehydrogenase complex II, mitochondrial",MITOCHONDRIA,4,66945; 67680; 66925; 66052
"Succinyl-CoA synthetase, ADP-forming",MITOCHONDRIA,3,56451; 20916; 20917
"Succinyl-CoA synthetase, GDP-forming",MITOCHONDRIA,2,56451; 20917
Sufu-Mycbp-Gli1 complex,CYTOSOL|UNKNOWN,3,14633; 56309; 24069
Sulphiredoxin-peroxiredoxin complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,18477; 76650
SUMO1-SUA1-UBA2 complex,NUCLEUS,3,22218; 56459; 50995
SUMO1-SYT7 complex,NUCLEUS,2,54525; 22218
Sur2 subcomplex of mediator,NUCLEUS,3,216154; 70208; 23989
Survivin homodimer complex,NUCLEUS,1,11799
SVIP-VCP-DERL1 complex,PLASMA MEMBRANE|UNKNOWN,3,269523; 75744; 67819
SWAP complex,LARGE PROTEIN COMPLEX|NUCLEUS,4,17975; 11545; 18148; 20947
SWELL1-containing complex,PLASMA MEMBRANE,5,72267; 433926; 231549; 241296; 100604
SWI-SNF chromatin remodeling-related-BRCA1 complex,NUCLEUS,10,93760; 56456; 12189; 67155; 20586; 20587; 68094; 20588; 83796; 57376
SWI/SNF-related chromatin-remodeling complex,NUCLEUS,5,67155; 17257; 433759; 57376; 20466
SWI/SNF-related chromatin-remodeling complex (Brm-based),NUCLEUS,7,57376; 15182; 20588; 67155; 20466; 20587; 17257
Sycp1-Syce1-Syce2 complex,CYTOSOL|NUCLEUS|UNKNOWN,3,71846; 20957; 74075
Synaptotagmin-sodium channel complex  (Syt1-Scn2a-Scn1b),SECRETORY,3,110876; 20979; 20266
Synaptotagmin-sodium channel complex (Syt1-Scn1a-Scn1b),SECRETORY,3,20265; 20979; 20266
Synaptotagmin-sodium channel complex (Syt2-Scn1a-Scn1b),SECRETORY,3,20265; 20980; 20266
Synaptotagmin-sodium channel complex (Syt2-Scn2a-Scn1b),NUCLEUS|SECRETORY,3,110876; 20980; 20266
SYNE2-TMEM67 complex,LARGE PROTEIN COMPLEX|NUCLEUS|PLASMA MEMBRANE|SECRETORY|UNKNOWN,2,329795; 319565
Synexin-sorcin complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,11750; 109552
Tacc1-chTOG-AuroraA  complex,LARGE PROTEIN COMPLEX,3,20878; 320165; 75786
TALL1 homo-oligomer complex,UNCLASSIFIED,1,24099
Tamalin-mGluR1a-cytohesin complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,14816; 19158; 56149
Tamalin-mGluR5 complex,UNCLASSIFIED,2,14805; 56149
TANGO1L-cTAGE5-SEC12 complex,ENDOPLASMIC RETICULUM,3,217615; 338366; 50907
TANK-TRAF2-TRAF3 complex,CYTOSOL|UNKNOWN,3,22030; 22031; 21353
Tankyrin 1-tankyrin 2-TRF1 complex,CYTOSOL|NUCLEUS,3,21951; 21749; 74493
TBCD-ARL2-tubulin(beta) complex,CYTOSOL,3,22154; 56327; 108903
TBCD-ARL2-tubulin(beta)-TBCE complex,CYTOSOL,4,22154; 56327; 70430; 108903
TBCD-tubulin(alpha)-tubulin(beta) complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,22154; 22142; 108903
TBCE-TBCB-tubulin(alpha) complex,CYTOSOL|LARGE PROTEIN COMPLEX,3,70430; 22142; 66411
tBID-BAK1 complex,MITOCHONDRIA,2,12018; 12122
tBID-BCL2 complex,CYTOSOL|GOLGI|UNKNOWN,2,12043; 12122
tBID-BCL2xL complex,UNKNOWN,2,12122; 12048
TBP-TAF complex,NUCLEUS,4,21374; 21341; 21339; 21340
TBPIP/HOP2-MND1 complex,UNCLASSIFIED,2,76915; 19183
TBX20-HDAC2 repressor complex,NUCLEUS,2,15182; 57246
TBX20-TBX18 repressor complex,UNCLASSIFIED,2,76365; 57246
Tbx20-Tle1 repressor complex,NUCLEUS|UNKNOWN,2,21885; 57246
TBX20-TLE1 repressor complex,NUCLEUS|UNKNOWN,2,21885; 57246
Tbx20-Tle3 repressor complex,ENDOPLASMIC RETICULUM|NUCLEUS|UNKNOWN,2,21887; 57246
TBX20-TLE3 repressor complex,ENDOPLASMIC RETICULUM|NUCLEUS|UNKNOWN,2,21887; 57246
TCF4-CTNNB1 complex,PLASMA MEMBRANE,2,21413; 12387
TCF4-CTNNB1-CREBBP complex,NUCLEUS,3,21413; 12387; 12914
TCF4-CTNNB1-EP300 complex,NUCLEUS,3,21413; 12387; 328572
TCF4-CTNNB1-SUMO1-EP300-HADAC6 complex,NUCLEUS,5,21413; 12387; 22218; 328572; 15185
TCL1 homotrimer complex,UNCLASSIFIED,1,21432
TCL1(trimer)-AKT1 complex,CYTOSOL,2,11651; 21432
TCL1(trimer)-AKT2 complex,CYTOSOL|UNKNOWN,2,11652; 21432
